sample	chr	startpos	endpos	nMajor	nMinor
TCGA-EA-A556	1	61735	1913951	3	0
TCGA-EA-A556	1	1922580	2704636	7	0
TCGA-EA-A556	1	2705076	20213914	2	0
TCGA-EA-A556	1	20215400	20471479	7	0
TCGA-EA-A556	1	20473614	30187374	2	0
TCGA-EA-A556	1	30190281	33098468	3	2
TCGA-EA-A556	1	33104093	33553649	2	0
TCGA-EA-A556	1	33556713	249224388	2	2
TCGA-EA-A556	2	12784	55697125	3	2
TCGA-EA-A556	2	55700554	65556262	4	2
TCGA-EA-A556	2	65556893	242612784	2	2
TCGA-EA-A556	2	242642853	243089456	3	0
TCGA-EA-A556	3	60345	329148	2	0
TCGA-EA-A556	3	329445	13523010	2	2
TCGA-EA-A556	3	13523057	13807781	3	3
TCGA-EA-A556	3	13808062	54008751	2	2
TCGA-EA-A556	3	54012582	65837889	2	1
TCGA-EA-A556	3	65837994	67354022	3	1
TCGA-EA-A556	3	67354263	90144397	2	1
TCGA-EA-A556	3	90144758	105699113	3	2
TCGA-EA-A556	3	105700120	109284286	2	2
TCGA-EA-A556	3	109288429	110687376	4	2
TCGA-EA-A556	3	110688209	154148878	2	2
TCGA-EA-A556	3	154158724	197896118	6	2
TCGA-EA-A556	4	12281	20126804	2	2
TCGA-EA-A556	4	20127041	20642151	2	0
TCGA-EA-A556	4	20643239	52704508	2	2
TCGA-EA-A556	4	52706713	60149217	3	2
TCGA-EA-A556	4	60152269	179786141	2	1
TCGA-EA-A556	4	179786367	181637698	2	0
TCGA-EA-A556	4	181637722	185135563	2	1
TCGA-EA-A556	4	185136805	191027923	2	0
TCGA-EA-A556	5	15532	44890193	3	2
TCGA-EA-A556	5	44891470	55347949	2	2
TCGA-EA-A556	5	55348701	56170876	4	1
TCGA-EA-A556	5	56179212	149505489	2	1
TCGA-EA-A556	5	149505624	149696434	4	1
TCGA-EA-A556	5	149703429	180790320	2	1
TCGA-EA-A556	6	149661	28782449	2	1
TCGA-EA-A556	6	28782998	39969198	2	2
TCGA-EA-A556	6	39969542	42309200	3	3
TCGA-EA-A556	6	42309224	43706478	2	2
TCGA-EA-A556	6	43706974	44027280	3	3
TCGA-EA-A556	6	44031205	67831668	2	2
TCGA-EA-A556	6	67831987	72581837	3	2
TCGA-EA-A556	6	72582426	77591293	2	2
TCGA-EA-A556	6	77591633	81147783	3	2
TCGA-EA-A556	6	81150078	83438031	2	2
TCGA-EA-A556	6	83439167	86251538	3	2
TCGA-EA-A556	6	86252904	90025112	2	2
TCGA-EA-A556	6	90025317	97667689	3	2
TCGA-EA-A556	6	97669713	150751032	2	1
TCGA-EA-A556	6	150751874	150930489	3	2
TCGA-EA-A556	6	150934963	162664364	2	1
TCGA-EA-A556	6	162672821	163287279	1	1
TCGA-EA-A556	6	163289942	171051005	2	1
TCGA-EA-A556	7	43259	2522847	2	2
TCGA-EA-A556	7	2523308	2929427	4	2
TCGA-EA-A556	7	2930216	75180121	2	2
TCGA-EA-A556	7	75183880	75814957	4	2
TCGA-EA-A556	7	75818788	127948134	2	2
TCGA-EA-A556	7	127948604	129427628	6	2
TCGA-EA-A556	7	129429341	159127004	2	2
TCGA-EA-A556	8	31254	33673130	2	0
TCGA-EA-A556	8	33673156	34998152	23	2
TCGA-EA-A556	8	35001397	36381736	13	2
TCGA-EA-A556	8	36383681	38734581	20	2
TCGA-EA-A556	8	38734581	43786802	9	2
TCGA-EA-A556	8	43824048	91831456	3	3
TCGA-EA-A556	8	91832439	92627203	6	2
TCGA-EA-A556	8	92627548	120899248	3	3
TCGA-EA-A556	8	120902906	121315080	6	5
TCGA-EA-A556	8	121318096	146298155	3	3
TCGA-EA-A556	9	46587	34098110	3	2
TCGA-EA-A556	9	34098257	47217176	4	2
TCGA-EA-A556	9	65616971	116374289	2	2
TCGA-EA-A556	9	116374888	118568174	6	2
TCGA-EA-A556	9	118568280	130606467	2	2
TCGA-EA-A556	9	130607860	141091394	2	1
TCGA-EA-A556	10	72759	14170559	2	2
TCGA-EA-A556	10	14171128	14638515	5	2
TCGA-EA-A556	10	14638939	71767076	2	2
TCGA-EA-A556	10	71767354	72093502	4	2
TCGA-EA-A556	10	72100684	98801087	2	2
TCGA-EA-A556	10	98805348	103348877	3	3
TCGA-EA-A556	10	103349670	125396771	2	0
TCGA-EA-A556	10	125396799	125567936	4	0
TCGA-EA-A556	10	125575350	135506704	2	0
TCGA-EA-A556	11	198572	63544284	2	2
TCGA-EA-A556	11	63551825	63849420	4	2
TCGA-EA-A556	11	63851633	76278195	2	2
TCGA-EA-A556	11	76280432	77959631	3	2
TCGA-EA-A556	11	77959659	134944770	2	2
TCGA-EA-A556	12	150442	6490184	2	2
TCGA-EA-A556	12	6490609	6733627	5	2
TCGA-EA-A556	12	6736336	46023076	2	2
TCGA-EA-A556	12	46023426	47706717	3	2
TCGA-EA-A556	12	47707019	95670459	2	2
TCGA-EA-A556	12	95678439	96455871	4	2
TCGA-EA-A556	12	96457365	133778189	2	2
TCGA-EA-A556	13	19026949	40014662	2	2
TCGA-EA-A556	13	40015545	40670014	4	2
TCGA-EA-A556	13	40673331	46694534	2	2
TCGA-EA-A556	13	46695350	47382043	4	2
TCGA-EA-A556	13	47386780	115108397	2	2
TCGA-EA-A556	14	19002124	21832776	4	3
TCGA-EA-A556	14	21832942	22155761	7	3
TCGA-EA-A556	14	22156455	27702951	3	2
TCGA-EA-A556	14	27704132	28395035	2	1
TCGA-EA-A556	14	28396279	33898480	4	3
TCGA-EA-A556	14	33898496	34305898	3	2
TCGA-EA-A556	14	34305999	34754768	2	1
TCGA-EA-A556	14	34755386	35451642	2	2
TCGA-EA-A556	14	35457964	53276120	2	1
TCGA-EA-A556	14	53279349	68718658	4	1
TCGA-EA-A556	14	68719114	68812645	3	0
TCGA-EA-A556	14	68812756	92934250	4	1
TCGA-EA-A556	14	92934269	107285437	3	1
TCGA-EA-A556	15	20016328	67383287	2	1
TCGA-EA-A556	15	67384150	71039085	2	2
TCGA-EA-A556	15	71039086	77803712	3	2
TCGA-EA-A556	15	77804013	78106926	4	3
TCGA-EA-A556	15	78107164	102469040	3	2
TCGA-EA-A556	16	60777	77737858	2	2
TCGA-EA-A556	16	77738161	89755903	2	1
TCGA-EA-A556	16	89756393	90287535	3	2
TCGA-EA-A556	17	526	17050844	4	0
TCGA-EA-A556	17	17051347	22227075	2	2
TCGA-EA-A556	17	22227741	34148944	2	0
TCGA-EA-A556	17	34149012	34267072	2	2
TCGA-EA-A556	17	34268252	46070755	2	0
TCGA-EA-A556	17	46073080	48796687	6	2
TCGA-EA-A556	17	48810315	54141273	2	2
TCGA-EA-A556	17	54143679	62248523	2	0
TCGA-EA-A556	17	62248593	73836844	2	2
TCGA-EA-A556	17	73837142	78273022	3	2
TCGA-EA-A556	17	78274162	78692004	8	2
TCGA-EA-A556	17	78695825	81049726	3	2
TCGA-EA-A556	18	48133	20296043	2	2
TCGA-EA-A556	18	20296806	78015057	2	1
