sample	chr	startpos	endpos	nMajor	nMinor
TCGA-DU-7306	1	61735	156985430	1	1
TCGA-DU-7306	1	156989407	249224388	2	0
TCGA-DU-7306	2	12784	239840201	1	1
TCGA-DU-7306	2	239841003	243089456	1	0
TCGA-DU-7306	3	60345	197896118	1	1
TCGA-DU-7306	4	12281	191027923	1	1
TCGA-DU-7306	5	15532	40964595	1	1
TCGA-DU-7306	5	40964852	42827921	1	0
TCGA-DU-7306	5	42830577	180790320	1	1
TCGA-DU-7306	6	149661	171051005	1	1
TCGA-DU-7306	7	43259	77374038	1	1
TCGA-DU-7306	7	77374846	99925892	2	1
TCGA-DU-7306	7	99928407	145133371	3	2
TCGA-DU-7306	7	145136645	147619123	3	3
TCGA-DU-7306	7	147619772	157834508	3	2
TCGA-DU-7306	7	157835260	158428072	2	1
TCGA-DU-7306	7	158428568	159127004	3	2
TCGA-DU-7306	8	31254	146298155	1	1
TCGA-DU-7306	9	46587	34892442	1	0
TCGA-DU-7306	9	34893882	47217176	2	1
TCGA-DU-7306	9	65616971	97399506	1	1
TCGA-DU-7306	9	97400090	97824124	2	1
TCGA-DU-7306	9	97824841	141091394	1	1
TCGA-DU-7306	10	72759	135506704	1	1
TCGA-DU-7306	11	198572	117926448	1	1
TCGA-DU-7306	11	117926735	134944770	4	1
TCGA-DU-7306	12	150442	123352740	1	1
TCGA-DU-7306	12	123354545	124213562	2	1
TCGA-DU-7306	12	124218026	133778189	1	1
TCGA-DU-7306	13	19026949	115108397	1	1
TCGA-DU-7306	14	19002124	46488493	1	1
TCGA-DU-7306	14	46491828	47807879	2	1
TCGA-DU-7306	14	47808724	107285437	1	1
TCGA-DU-7306	15	20016328	101953973	2	1
TCGA-DU-7306	15	101954814	102469040	1	0
TCGA-DU-7306	16	60777	90287535	1	1
TCGA-DU-7306	17	526	81049726	1	1
TCGA-DU-7306	18	48133	3433817	2	1
TCGA-DU-7306	18	3435078	10942140	1	1
TCGA-DU-7306	18	10942607	12747059	2	1
TCGA-DU-7306	18	12747942	78015057	1	1
TCGA-DU-7306	19	90910	28240378	2	1
TCGA-DU-7306	19	28240494	51008599	1	1
TCGA-DU-7306	19	51009280	59097854	1	0
TCGA-DU-7306	20	61305	62956153	1	1
TCGA-DU-7306	21	10736871	48096957	1	1
TCGA-DU-7306	22	16052528	51234455	1	1
TCGA-DU-7306	X	168477	2694240	1	1
TCGA-DU-7306	X	2703391	155233846	1	0
