sample	chr	startpos	endpos	nMajor	nMinor
TCGA-IK-8125	1	61735	121482979	2	0
TCGA-IK-8125	1	144007049	145092711	3	0
TCGA-IK-8125	1	145100386	249224388	2	2
TCGA-IK-8125	2	12784	243089456	2	2
TCGA-IK-8125	3	60345	197896118	2	2
TCGA-IK-8125	4	12281	191027923	2	1
TCGA-IK-8125	5	15532	180790320	2	2
TCGA-IK-8125	6	149661	171051005	2	2
TCGA-IK-8125	7	43259	159127004	2	2
TCGA-IK-8125	8	31254	146298155	2	2
TCGA-IK-8125	9	46587	100440962	2	2
TCGA-IK-8125	9	100441235	141091394	3	1
TCGA-IK-8125	10	72759	135506704	2	2
TCGA-IK-8125	11	198572	134944770	2	2
TCGA-IK-8125	12	150442	133778189	2	2
TCGA-IK-8125	13	19026949	115108397	2	2
TCGA-IK-8125	14	19002124	22342576	3	2
TCGA-IK-8125	14	22343130	22974256	3	3
TCGA-IK-8125	14	22974293	35014394	3	2
TCGA-IK-8125	14	35014492	107285437	2	1
TCGA-IK-8125	15	20016328	102469040	2	2
TCGA-IK-8125	16	60777	90287535	2	2
TCGA-IK-8125	17	526	81049726	2	2
TCGA-IK-8125	18	48133	78015057	2	2
TCGA-IK-8125	19	90910	27751675	2	2
TCGA-IK-8125	19	27762138	59097854	2	0
TCGA-IK-8125	20	61305	62956153	2	2
TCGA-IK-8125	21	10736871	48096957	2	2
TCGA-IK-8125	22	16052528	51234455	2	2
TCGA-IK-8125	X	168477	2694240	2	2
TCGA-IK-8125	X	2703391	154929105	2	0
TCGA-IK-8125	X	154929308	155233846	2	2
