sample	chr	startpos	endpos	nMajor	nMinor
TCGA-3H-AB3K	1	61735	74997750	1	1
TCGA-3H-AB3K	1	75000838	117251563	1	0
TCGA-3H-AB3K	1	117252307	249224388	1	1
TCGA-3H-AB3K	2	12784	152143524	1	1
TCGA-3H-AB3K	2	152144766	152691829	2	1
TCGA-3H-AB3K	2	152693945	243089456	1	1
TCGA-3H-AB3K	3	60345	63135078	2	0
TCGA-3H-AB3K	3	63135769	128275700	1	1
TCGA-3H-AB3K	3	128275793	128346262	1	0
TCGA-3H-AB3K	3	128346783	197896118	1	1
TCGA-3H-AB3K	4	12281	191027923	1	1
TCGA-3H-AB3K	5	15532	174139104	1	1
TCGA-3H-AB3K	5	174144026	174206632	1	0
TCGA-3H-AB3K	5	174207663	180790320	1	1
TCGA-3H-AB3K	6	149661	800051	1	1
TCGA-3H-AB3K	6	800299	869101	1	0
TCGA-3H-AB3K	6	870244	64496268	1	1
TCGA-3H-AB3K	6	64501695	171051005	1	0
TCGA-3H-AB3K	7	43259	159127004	1	1
TCGA-3H-AB3K	8	31254	39901373	1	0
TCGA-3H-AB3K	8	39901717	146298155	1	1
TCGA-3H-AB3K	9	46587	141091394	1	1
TCGA-3H-AB3K	10	72759	135506704	1	1
TCGA-3H-AB3K	11	198572	134820675	1	1
TCGA-3H-AB3K	11	134821370	134944770	1	0
TCGA-3H-AB3K	12	150442	133778189	1	1
TCGA-3H-AB3K	13	19026949	115108397	1	1
TCGA-3H-AB3K	14	19002124	21109859	1	1
TCGA-3H-AB3K	14	21111883	21214805	1	0
TCGA-3H-AB3K	14	21215070	107285437	1	1
TCGA-3H-AB3K	15	20016328	102469040	1	1
TCGA-3H-AB3K	16	60777	90287535	1	1
TCGA-3H-AB3K	17	526	46875982	1	1
TCGA-3H-AB3K	17	46877882	81049726	2	1
TCGA-3H-AB3K	18	48133	78015057	1	1
TCGA-3H-AB3K	19	90910	28080765	2	0
TCGA-3H-AB3K	19	28080815	59097854	1	1
TCGA-3H-AB3K	20	61305	3971561	1	0
TCGA-3H-AB3K	20	3971803	4098739	0	0
TCGA-3H-AB3K	20	4101800	25955122	1	0
TCGA-3H-AB3K	20	25959162	62956153	1	1
TCGA-3H-AB3K	21	10736871	48096957	1	1
TCGA-3H-AB3K	22	16052528	51234455	1	0
TCGA-3H-AB3K	X	168477	2694240	1	1
TCGA-3H-AB3K	X	2703391	155233846	1	0
