sample	chr	startpos	endpos	nMajor	nMinor
TCGA-D6-A4ZB	1	61735	15512340	1	1
TCGA-D6-A4ZB	1	15512757	33855823	1	0
TCGA-D6-A4ZB	1	33857107	58520314	1	1
TCGA-D6-A4ZB	1	58520739	73150493	1	0
TCGA-D6-A4ZB	1	73154532	96852354	1	1
TCGA-D6-A4ZB	1	96853504	121482979	1	0
TCGA-D6-A4ZB	1	144007049	249224388	1	1
TCGA-D6-A4ZB	2	12784	88976528	2	0
TCGA-D6-A4ZB	2	88976993	141877104	3	0
TCGA-D6-A4ZB	2	141878501	142282518	1	0
TCGA-D6-A4ZB	2	142285631	204902942	3	0
TCGA-D6-A4ZB	2	204909487	205619138	7	0
TCGA-D6-A4ZB	2	205620551	243089456	1	0
TCGA-D6-A4ZB	3	60345	60399172	1	0
TCGA-D6-A4ZB	3	60399322	60640134	0	0
TCGA-D6-A4ZB	3	60640716	73476665	1	0
TCGA-D6-A4ZB	3	73478458	73689104	0	0
TCGA-D6-A4ZB	3	73689380	90432675	1	0
TCGA-D6-A4ZB	3	90450481	126320397	2	1
TCGA-D6-A4ZB	3	126321546	197896118	2	2
TCGA-D6-A4ZB	4	12281	19196417	1	1
TCGA-D6-A4ZB	4	19198243	22521265	1	0
TCGA-D6-A4ZB	4	22521535	67200209	1	1
TCGA-D6-A4ZB	4	67201368	70999619	2	1
TCGA-D6-A4ZB	4	71000139	115349850	1	1
TCGA-D6-A4ZB	4	115353082	187238226	1	0
TCGA-D6-A4ZB	4	187238388	191027923	2	0
TCGA-D6-A4ZB	5	15532	2460762	1	1
TCGA-D6-A4ZB	5	2461998	4417450	2	1
TCGA-D6-A4ZB	5	4417602	63921789	1	1
TCGA-D6-A4ZB	5	63926199	124255218	1	0
TCGA-D6-A4ZB	5	124259843	180790320	1	1
TCGA-D6-A4ZB	6	149661	9947307	1	1
TCGA-D6-A4ZB	6	9948994	10251333	1	0
TCGA-D6-A4ZB	6	10251443	171051005	1	1
TCGA-D6-A4ZB	7	43259	17755459	1	1
TCGA-D6-A4ZB	7	17755584	18253887	1	0
TCGA-D6-A4ZB	7	18254836	159127004	1	1
TCGA-D6-A4ZB	8	31254	670335	1	0
TCGA-D6-A4ZB	8	672571	5250431	2	0
TCGA-D6-A4ZB	8	5250660	37156504	1	0
TCGA-D6-A4ZB	8	37156796	42604711	1	1
TCGA-D6-A4ZB	8	42604791	62869778	2	0
TCGA-D6-A4ZB	8	62871142	70523520	3	0
TCGA-D6-A4ZB	8	70523705	98238621	2	0
TCGA-D6-A4ZB	8	98238719	106778064	2	1
TCGA-D6-A4ZB	8	106778214	112493766	2	2
TCGA-D6-A4ZB	8	112495962	146298155	2	0
TCGA-D6-A4ZB	9	46587	47217176	1	0
TCGA-D6-A4ZB	9	65616971	141091394	1	1
TCGA-D6-A4ZB	10	72759	135506704	1	0
TCGA-D6-A4ZB	11	198572	49345589	1	0
TCGA-D6-A4ZB	11	49345797	68967247	1	1
TCGA-D6-A4ZB	11	68967641	91005886	2	1
TCGA-D6-A4ZB	11	91006768	134944770	1	1
TCGA-D6-A4ZB	12	150442	7170336	1	1
TCGA-D6-A4ZB	12	7175047	15546375	1	0
TCGA-D6-A4ZB	12	15552703	66362673	1	1
TCGA-D6-A4ZB	12	66363070	67830435	2	1
TCGA-D6-A4ZB	12	67830703	71115185	3	1
TCGA-D6-A4ZB	12	71115556	74337278	2	1
TCGA-D6-A4ZB	12	74338741	133778189	1	1
TCGA-D6-A4ZB	13	19026949	45781420	1	0
TCGA-D6-A4ZB	13	45782312	54101574	1	1
TCGA-D6-A4ZB	13	54102206	57644728	2	1
TCGA-D6-A4ZB	13	57646631	115108397	1	1
TCGA-D6-A4ZB	14	19002124	56688769	1	1
TCGA-D6-A4ZB	14	56689109	58141474	2	1
TCGA-D6-A4ZB	14	58141799	107285437	1	1
TCGA-D6-A4ZB	15	20016328	102469040	1	1
TCGA-D6-A4ZB	16	60777	78236542	1	1
TCGA-D6-A4ZB	16	78238088	83419470	2	1
TCGA-D6-A4ZB	16	83421181	90287535	1	1
TCGA-D6-A4ZB	17	526	25535068	2	0
TCGA-D6-A4ZB	17	25536177	26889351	4	0
TCGA-D6-A4ZB	17	26890019	81049726	2	0
TCGA-D6-A4ZB	18	48133	62727530	1	1
TCGA-D6-A4ZB	18	62728352	63627546	3	1
TCGA-D6-A4ZB	18	63628442	74333211	1	1
TCGA-D6-A4ZB	18	74333309	78015057	1	0
TCGA-D6-A4ZB	19	90910	22099670	1	0
TCGA-D6-A4ZB	19	22103358	24420063	1	1
TCGA-D6-A4ZB	19	24428003	29378806	2	1
TCGA-D6-A4ZB	19	29379723	38034722	2	0
TCGA-D6-A4ZB	19	38036049	38872270	2	1
TCGA-D6-A4ZB	19	38872335	56267059	1	1
TCGA-D6-A4ZB	19	56268045	59097854	2	1
TCGA-D6-A4ZB	20	61305	21028015	2	1
TCGA-D6-A4ZB	20	21029495	25171617	3	1
TCGA-D6-A4ZB	20	25174822	62956153	1	1
TCGA-D6-A4ZB	21	10736871	18102244	2	1
TCGA-D6-A4ZB	21	18103786	27206617	1	1
TCGA-D6-A4ZB	21	27206771	46953292	1	0
TCGA-D6-A4ZB	21	46959087	48096957	1	1
TCGA-D6-A4ZB	22	16052528	51234455	1	1
TCGA-D6-A4ZB	X	168477	2694240	2	1
TCGA-D6-A4ZB	X	2703391	154787567	1	0
TCGA-D6-A4ZB	X	154789183	155233846	0	0
