sample	chr	startpos	endpos	nMajor	nMinor
TCGA-EW-A1P3	1	61735	121482979	1	1
TCGA-EW-A1P3	1	144007049	249224388	2	1
TCGA-EW-A1P3	2	12784	243089456	1	1
TCGA-EW-A1P3	3	60345	197896118	1	1
TCGA-EW-A1P3	4	12281	191027923	1	1
TCGA-EW-A1P3	5	15532	180790320	1	1
TCGA-EW-A1P3	6	149661	63792921	1	1
TCGA-EW-A1P3	6	63801843	64051515	0	0
TCGA-EW-A1P3	6	64058040	106819365	1	1
TCGA-EW-A1P3	6	106819586	122801935	1	0
TCGA-EW-A1P3	6	122802147	133962255	1	1
TCGA-EW-A1P3	6	133962467	135507412	1	0
TCGA-EW-A1P3	6	135507466	171051005	1	1
TCGA-EW-A1P3	7	43259	4236043	2	1
TCGA-EW-A1P3	7	4239039	5901198	3	1
TCGA-EW-A1P3	7	5901275	159127004	2	1
TCGA-EW-A1P3	8	31254	146298155	1	1
TCGA-EW-A1P3	9	46587	141091394	1	0
TCGA-EW-A1P3	10	72759	135506704	1	1
TCGA-EW-A1P3	11	198572	134944770	1	1
TCGA-EW-A1P3	12	150442	133778189	1	1
TCGA-EW-A1P3	13	19026949	115108397	1	1
TCGA-EW-A1P3	14	19002124	107285437	2	1
TCGA-EW-A1P3	15	20016328	102469040	1	1
TCGA-EW-A1P3	16	60777	35283226	2	1
TCGA-EW-A1P3	16	46463782	70842097	1	0
TCGA-EW-A1P3	16	70854381	71202489	2	0
TCGA-EW-A1P3	16	71202797	90287535	1	0
TCGA-EW-A1P3	17	526	19482735	1	0
TCGA-EW-A1P3	17	19484951	62233289	2	1
TCGA-EW-A1P3	17	62233849	81049726	1	1
TCGA-EW-A1P3	18	48133	78015057	1	1
TCGA-EW-A1P3	19	90910	59097854	1	1
TCGA-EW-A1P3	20	61305	62956153	1	1
TCGA-EW-A1P3	21	10736871	48096957	1	1
TCGA-EW-A1P3	22	16052528	51234455	1	0
TCGA-EW-A1P3	X	168477	155233846	1	0
