sample	chr	startpos	endpos	nMajor	nMinor
TCGA-A6-6142	1	61735	249224388	2	2
TCGA-A6-6142	2	12784	243089456	2	2
TCGA-A6-6142	3	60345	103504420	2	0
TCGA-A6-6142	3	103506502	103641882	3	2
TCGA-A6-6142	3	103642313	104349893	2	0
TCGA-A6-6142	3	104352460	104577548	3	2
TCGA-A6-6142	3	104578744	105256695	2	0
TCGA-A6-6142	3	105258214	197896118	3	3
TCGA-A6-6142	4	12281	191027923	3	1
TCGA-A6-6142	5	15532	180790320	2	2
TCGA-A6-6142	6	149661	163487480	3	2
TCGA-A6-6142	6	163487685	166597813	3	1
TCGA-A6-6142	6	166601730	171051005	3	2
TCGA-A6-6142	7	43259	62509537	4	3
TCGA-A6-6142	7	62509876	159127004	3	2
TCGA-A6-6142	8	31254	41736109	2	0
TCGA-A6-6142	8	41736640	43767226	3	2
TCGA-A6-6142	8	43778914	141113240	7	3
TCGA-A6-6142	8	141113716	143127524	9	3
TCGA-A6-6142	8	143128774	146298155	7	3
TCGA-A6-6142	9	46587	26789186	3	3
TCGA-A6-6142	9	26789638	47217176	3	1
TCGA-A6-6142	9	65616971	141091394	2	0
TCGA-A6-6142	10	72759	135506704	2	2
TCGA-A6-6142	11	198572	134944770	3	2
TCGA-A6-6142	12	150442	133778189	3	2
TCGA-A6-6142	13	19026949	24605800	11	0
TCGA-A6-6142	13	24614006	29049784	30	0
TCGA-A6-6142	13	29050843	94161295	11	0
TCGA-A6-6142	13	94161442	96265876	14	0
TCGA-A6-6142	13	96267352	115108397	12	0
TCGA-A6-6142	14	19002124	107285437	3	0
TCGA-A6-6142	15	20016328	42223155	1	1
TCGA-A6-6142	15	42223259	42434254	1	0
TCGA-A6-6142	15	42436002	102469040	2	1
TCGA-A6-6142	16	60777	6421146	4	3
TCGA-A6-6142	16	6421229	14835067	2	2
TCGA-A6-6142	16	14888595	53010612	4	3
TCGA-A6-6142	16	53011054	90287535	2	2
TCGA-A6-6142	17	526	81049726	3	2
TCGA-A6-6142	18	48133	9775566	2	0
TCGA-A6-6142	18	9779570	78015057	2	2
TCGA-A6-6142	19	90910	27747993	2	0
TCGA-A6-6142	19	27751675	43241512	3	2
TCGA-A6-6142	19	43243670	59097854	5	0
TCGA-A6-6142	20	61305	2491003	8	3
TCGA-A6-6142	20	2491701	2703486	4	3
TCGA-A6-6142	20	2706447	15181397	9	3
TCGA-A6-6142	20	15181590	15668929	5	3
TCGA-A6-6142	20	15669073	62956153	8	3
TCGA-A6-6142	21	10736871	48096957	2	2
TCGA-A6-6142	22	16052528	51234455	3	1
TCGA-A6-6142	X	168477	155233846	3	1
