sample	chr	startpos	endpos	nMajor	nMinor
TCGA-AL-7173	1	61735	249224388	2	2
TCGA-AL-7173	2	12784	98017788	2	2
TCGA-AL-7173	2	98017804	243089456	4	2
TCGA-AL-7173	3	60345	197896118	2	2
TCGA-AL-7173	4	12281	191027923	2	2
TCGA-AL-7173	5	15532	180790320	2	2
TCGA-AL-7173	6	149661	171051005	4	0
TCGA-AL-7173	7	43259	159127004	3	3
TCGA-AL-7173	8	31254	146298155	2	2
TCGA-AL-7173	9	46587	141091394	2	2
TCGA-AL-7173	10	72759	135506704	2	2
TCGA-AL-7173	11	198572	134944770	2	2
TCGA-AL-7173	12	150442	133778189	3	3
TCGA-AL-7173	13	19026949	115108397	2	2
TCGA-AL-7173	14	19002124	107285437	2	0
TCGA-AL-7173	15	20016328	102469040	2	2
TCGA-AL-7173	16	60777	90287535	2	2
TCGA-AL-7173	17	526	81049726	2	2
TCGA-AL-7173	18	48133	78015057	2	2
TCGA-AL-7173	19	90910	59097854	2	2
TCGA-AL-7173	20	61305	62956153	2	2
TCGA-AL-7173	21	10736871	48096957	2	2
TCGA-AL-7173	22	16052528	51234455	2	2
TCGA-AL-7173	X	168477	155233846	2	0
