sample	chr	startpos	endpos	nMajor	nMinor
TCGA-B4-5835	1	61735	121482979	1	0
TCGA-B4-5835	1	144007049	249224388	1	1
TCGA-B4-5835	2	12784	8828082	1	1
TCGA-B4-5835	2	8828645	11279403	1	0
TCGA-B4-5835	2	11280544	53574186	1	1
TCGA-B4-5835	2	53577430	55815997	1	0
TCGA-B4-5835	2	55817756	67654434	1	1
TCGA-B4-5835	2	67666133	70539996	1	0
TCGA-B4-5835	2	70540113	243089456	1	1
TCGA-B4-5835	3	60345	76120068	1	0
TCGA-B4-5835	3	76120225	82281057	3	1
TCGA-B4-5835	3	82281924	83658283	1	0
TCGA-B4-5835	3	83664720	86782973	2	1
TCGA-B4-5835	3	86783295	87338426	4	1
TCGA-B4-5835	3	87339707	88023541	1	1
TCGA-B4-5835	3	88029064	90485636	1	0
TCGA-B4-5835	3	90485962	197896118	1	1
TCGA-B4-5835	4	12281	47446466	1	0
TCGA-B4-5835	4	47446955	191027923	1	1
TCGA-B4-5835	5	15532	180790320	1	1
TCGA-B4-5835	6	149661	56934069	1	1
TCGA-B4-5835	6	56937565	63344368	1	0
TCGA-B4-5835	6	63350106	64151306	1	1
TCGA-B4-5835	6	64151967	171051005	1	0
TCGA-B4-5835	7	43259	159127004	2	1
TCGA-B4-5835	8	31254	146298155	1	1
TCGA-B4-5835	9	46587	141091394	1	1
TCGA-B4-5835	10	72759	135506704	1	1
TCGA-B4-5835	11	198572	134944770	1	1
TCGA-B4-5835	12	150442	133778189	1	1
TCGA-B4-5835	13	19026949	40035312	1	0
TCGA-B4-5835	13	40039224	40128025	0	0
TCGA-B4-5835	13	40128303	115108397	1	0
TCGA-B4-5835	14	19002124	107285437	1	1
TCGA-B4-5835	15	20016328	27267217	1	0
TCGA-B4-5835	15	27272060	102469040	1	1
TCGA-B4-5835	16	60777	33952901	3	1
TCGA-B4-5835	16	33963580	57713386	1	1
TCGA-B4-5835	16	57715755	58298743	1	0
TCGA-B4-5835	16	58298905	90287535	1	1
TCGA-B4-5835	17	526	21524172	1	0
TCGA-B4-5835	17	21527046	81049726	4	1
TCGA-B4-5835	18	48133	78015057	1	0
TCGA-B4-5835	19	90910	59097854	1	1
TCGA-B4-5835	20	61305	61308009	1	1
TCGA-B4-5835	20	61308732	62056013	2	1
TCGA-B4-5835	20	62058731	62956153	1	1
TCGA-B4-5835	21	10736871	48096957	1	1
TCGA-B4-5835	22	16052528	51234455	1	1
TCGA-B4-5835	X	168477	155233846	2	1
